name,price,bedroom,livingroom,floor,totfloor,orientation,house_type,area,build_year,building_type,location1,location2,location3
107001304417,700.0,2,2,低,6,南,精装,87.65,2002,板楼,浦东,金桥,中环至外环
107002337121,825.0,2,2,中,14,南,精装,96.0,2007,板楼,浦东,杨东,内环内
107001583141,730.0,3,1,高,24,东,简装,124.13,1999,塔楼,浦东,金杨,内环至中环
107001164293,950.0,3,2,高,25,南,精装,130.76,2005,板楼,浦东,金杨,内环至中环
107000468751,700.0,6,2,低,13,南,毛坯,176.43,2008,板楼,宝山,大华,中环至外环
107002207777,1550.0,6,2,高,11,南,精装,169.66,2003,板楼,杨浦,控江路,内环至中环
107002089009,410.0,2,1,中,26,南,毛坯,82.25,2013,板楼,徐汇,华泾,外环外
107000039393,920.0,1,2,中,23,南,精装,79.48,2005,板楼,静安,南京西路,内环内
107000413677,368.0,2,1,高,12,北,精装,65.42,1994,塔楼,闵行,七宝,外环外
107000655883,385.0,2,1,高,5,南,简装,51.15,1989,板楼,徐汇,龙华,内环至中环
107002017127,450.0,3,2,低,20,南,精装,112.72,2014,板楼,嘉定,嘉定新城,外环外
107002185091,455.0,2,1,中,6,南,精装,74.0,2002,板楼,长宁,西郊,中环至外环
107001607709,230.0,2,2,低,16,南,精装,84.7,2013,板楼,嘉定,徐行,外环外
107001472177,475.0,4,2,低,5,南,精装,143.22,2010,板楼,青浦,朱家角,外环外
107002130915,290.0,2,2,高,6,南,精装,74.0,2006,板楼,松江,松江老城,外环外
107001349223,370.0,3,2,低,16,南,精装,124.49,2009,板楼,奉贤,南桥,外环外
107000066453,1200.0,3,2,低,33,南,精装,133.19,2004,板楼,普陀,武宁,内环内
107002278703,670.0,2,2,高,25,南,精装,112.87,1996,塔楼,徐汇,华东理工,内环至中环
107000039937,215.0,1,1,高,6,南,精装,45.37,1994,板楼,闸北,彭浦,中环至外环
107002101497,145.0,1,1,高,6,南,简装,40.0,1985,板楼,宝山,月浦,外环外
107002138149,305.0,2,2,中,11,南,精装,98.32,2007,板楼,浦东,惠南,外环外
107001315947,320.0,1,1,低,6,南,简装,51.38,1998,板楼,浦东,金桥,中环至外环
107001855069,355.0,2,2,高,6,南,精装,88.06,2011,板楼,宝山,罗店,外环外
107001519107,1100.0,3,2,低,15,南,精装,106.73,2014,板楼,浦东,唐镇,外环外
107001427859,250.0,1,1,低,6,南,简装,41.11,1990,板楼,虹口,凉城,中环至外环
107001903073,320.0,2,1,低,6,南,简装,67.82,1996,板楼,宝山,大场镇,中环至外环
107001055859,260.0,1,0,高,7,南,精装,37.4,1993,板楼,虹口,鲁迅公园,内环内
107000614467,500.0,2,0,中,6,东南,简装,49.74,1982,板楼,长宁,新华路,内环内
107000326945,800.0,3,2,低,14,南,精装,139.02,2005,板楼,闵行,莘庄,外环外
107002198307,418.0,2,1,中,5,南,精装,49.8,1995,板楼,徐汇,田林,内环至中环
107001920869,770.0,5,2,高,6,南,简装,172.79,2004,板楼,宝山,张庙,中环至外环
107002293227,1050.0,3,2,高,14,南,精装,124.84,2005,板楼,杨浦,周家嘴路,内环内
107000175225,288.0,2,1,高,6,南,简装,59.54,1995,板楼,宝山,张庙,中环至外环
